SNR_Bob = 6 dB, SNR_Eve = 18 dB, phi = 0.2 | C_B1 = 31.16 Mbps | C_B2 = 18.59 Mbps | C_E = 30.87 Mbps | BER_B1 = 5.0590e-01 | BER_B2 = 5.0090e-01 | BER_E = 4.9640e-01 | R_s1 = 1.04 | R_s2 = 0.00 | SOP1 = 0.46 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 1.04e-07 | eta_s2 = 1.90e-11
SNR_Bob = 6 dB, SNR_Eve = 20 dB, phi = 0.2 | C_B1 = 29.22 Mbps | C_B2 = 18.32 Mbps | C_E = 30.84 Mbps | BER_B1 = 4.9970e-01 | BER_B2 = 5.0090e-01 | BER_E = 5.0530e-01 | R_s1 = 0.85 | R_s2 = 0.00 | SOP1 = 0.65 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.47e-08 | eta_s2 = 1.29e-11
SNR_Bob = 8 dB, SNR_Eve = 0 dB, phi = 0.2 | C_B1 = 40.05 Mbps | C_B2 = 24.13 Mbps | C_E = 36.79 Mbps | BER_B1 = 5.0670e-01 | BER_B2 = 5.0690e-01 | BER_E = 5.0340e-01 | R_s1 = 1.40 | R_s2 = 0.00 | SOP1 = 0.15 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.40e-07 | eta_s2 = 2.62e-11
SNR_Bob = 8 dB, SNR_Eve = 2 dB, phi = 0.2 | C_B1 = 39.89 Mbps | C_B2 = 24.20 Mbps | C_E = 36.77 Mbps | BER_B1 = 4.9600e-01 | BER_B2 = 5.0310e-01 | BER_E = 5.0140e-01 | R_s1 = 1.39 | R_s2 = 0.00 | SOP1 = 0.16 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.39e-07 | eta_s2 = 2.07e-11
SNR_Bob = 8 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 39.85 Mbps | C_B2 = 24.14 Mbps | C_E = 36.78 Mbps | BER_B1 = 4.9340e-01 | BER_B2 = 5.0030e-01 | BER_E = 4.9320e-01 | R_s1 = 1.38 | R_s2 = 0.00 | SOP1 = 0.16 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.38e-07 | eta_s2 = 5.87e-11
SNR_Bob = 8 dB, SNR_Eve = 6 dB, phi = 0.2 | C_B1 = 39.75 Mbps | C_B2 = 24.11 Mbps | C_E = 36.82 Mbps | BER_B1 = 4.9280e-01 | BER_B2 = 5.0720e-01 | BER_E = 5.0770e-01 | R_s1 = 1.37 | R_s2 = 0.00 | SOP1 = 0.17 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.37e-07 | eta_s2 = 5.61e-11
SNR_Bob = 8 dB, SNR_Eve = 8 dB, phi = 0.2 | C_B1 = 39.58 Mbps | C_B2 = 24.09 Mbps | C_E = 36.84 Mbps | BER_B1 = 5.0700e-01 | BER_B2 = 5.0090e-01 | BER_E = 4.9880e-01 | R_s1 = 1.35 | R_s2 = 0.00 | SOP1 = 0.18 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.35e-07 | eta_s2 = 3.67e-11
SNR_Bob = 8 dB, SNR_Eve = 10 dB, phi = 0.2 | C_B1 = 39.29 Mbps | C_B2 = 24.14 Mbps | C_E = 36.85 Mbps | BER_B1 = 5.0530e-01 | BER_B2 = 4.9800e-01 | BER_E = 4.9770e-01 | R_s1 = 1.32 | R_s2 = 0.00 | SOP1 = 0.20 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.32e-07 | eta_s2 = 3.30e-11
SNR_Bob = 8 dB, SNR_Eve = 12 dB, phi = 0.2 | C_B1 = 38.86 Mbps | C_B2 = 24.01 Mbps | C_E = 36.81 Mbps | BER_B1 = 4.9750e-01 | BER_B2 = 4.9370e-01 | BER_E = 5.0540e-01 | R_s1 = 1.28 | R_s2 = 0.00 | SOP1 = 0.24 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.28e-07 | eta_s2 = 4.32e-11
SNR_Bob = 8 dB, SNR_Eve = 14 dB, phi = 0.2 | C_B1 = 38.16 Mbps | C_B2 = 23.92 Mbps | C_E = 36.78 Mbps | BER_B1 = 4.9900e-01 | BER_B2 = 4.9890e-01 | BER_E = 4.9760e-01 | R_s1 = 1.21 | R_s2 = 0.00 | SOP1 = 0.29 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.21e-07 | eta_s2 = 2.27e-11
SNR_Bob = 8 dB, SNR_Eve = 16 dB, phi = 0.2 | C_B1 = 37.24 Mbps | C_B2 = 23.79 Mbps | C_E = 36.85 Mbps | BER_B1 = 4.9800e-01 | BER_B2 = 4.9920e-01 | BER_E = 5.0000e-01 | R_s1 = 1.11 | R_s2 = 0.00 | SOP1 = 0.38 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.11e-07 | eta_s2 = 1.81e-11
SNR_Bob = 8 dB, SNR_Eve = 18 dB, phi = 0.2 | C_B1 = 35.82 Mbps | C_B2 = 23.67 Mbps | C_E = 36.84 Mbps | BER_B1 = 4.8850e-01 | BER_B2 = 4.9210e-01 | BER_E = 4.9920e-01 | R_s1 = 0.97 | R_s2 = 0.00 | SOP1 = 0.53 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.73e-08 | eta_s2 = 2.43e-11
SNR_Bob = 8 dB, SNR_Eve = 20 dB, phi = 0.2 | C_B1 = 33.93 Mbps | C_B2 = 23.32 Mbps | C_E = 36.91 Mbps | BER_B1 = 5.0660e-01 | BER_B2 = 4.9820e-01 | BER_E = 5.0340e-01 | R_s1 = 0.78 | R_s2 = 0.00 | SOP1 = 0.70 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.82e-08 | eta_s2 = 2.09e-11
SNR_Bob = 10 dB, SNR_Eve = 0 dB, phi = 0.2 | C_B1 = 43.68 Mbps | C_B2 = 29.75 Mbps | C_E = 43.01 Mbps | BER_B1 = 5.0730e-01 | BER_B2 = 4.9860e-01 | BER_E = 5.0250e-01 | R_s1 = 1.19 | R_s2 = 0.00 | SOP1 = 0.31 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.19e-07 | eta_s2 = 3.46e-11
SNR_Bob = 10 dB, SNR_Eve = 2 dB, phi = 0.2 | C_B1 = 43.65 Mbps | C_B2 = 29.75 Mbps | C_E = 43.02 Mbps | BER_B1 = 4.9220e-01 | BER_B2 = 4.9870e-01 | BER_E = 5.0330e-01 | R_s1 = 1.18 | R_s2 = 0.00 | SOP1 = 0.32 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.18e-07 | eta_s2 = 5.23e-11
SNR_Bob = 10 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 43.58 Mbps | C_B2 = 29.73 Mbps | C_E = 43.03 Mbps | BER_B1 = 5.0390e-01 | BER_B2 = 4.9720e-01 | BER_E = 5.0190e-01 | R_s1 = 1.18 | R_s2 = 0.00 | SOP1 = 0.32 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.18e-07 | eta_s2 = 4.81e-11
