===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve =====
SNR_Bob = 6 dB, SNR_Eve = 6 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 38.66 Mbps | C_B2 = 11.40 Mbps | C_E = 20.99 Mbps | R_s1 = 1.77 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.77e-07 | eta_s2 = 2.89e-11
SNR_Bob = 6 dB, SNR_Eve = 8 dB | alpha1 = 0.3503, alpha2 = 0.3497, phi = 0.3000 | C_B1 = 38.41 Mbps | C_B2 = 11.39 Mbps | C_E = 21.03 Mbps | R_s1 = 1.74 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.74e-07 | eta_s2 = 2.81e-11
SNR_Bob = 6 dB, SNR_Eve = 10 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 38.02 Mbps | C_B2 = 11.37 Mbps | C_E = 21.01 Mbps | R_s1 = 1.70 | R_s2 = 0.00 | SOP1 = 0.05 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.70e-07 | eta_s2 = 2.67e-11
SNR_Bob = 6 dB, SNR_Eve = 12 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 37.41 Mbps | C_B2 = 11.33 Mbps | C_E = 21.01 Mbps | R_s1 = 1.64 | R_s2 = 0.00 | SOP1 = 0.07 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.64e-07 | eta_s2 = 2.44e-11
SNR_Bob = 6 dB, SNR_Eve = 14 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 36.54 Mbps | C_B2 = 11.29 Mbps | C_E = 21.01 Mbps | R_s1 = 1.55 | R_s2 = 0.00 | SOP1 = 0.10 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.55e-07 | eta_s2 = 2.17e-11
SNR_Bob = 6 dB, SNR_Eve = 16 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 35.24 Mbps | C_B2 = 11.20 Mbps | C_E = 21.02 Mbps | R_s1 = 1.42 | R_s2 = 0.00 | SOP1 = 0.16 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.42e-07 | eta_s2 = 2.39e-11
SNR_Bob = 6 dB, SNR_Eve = 18 dB | alpha1 = 0.3502, alpha2 = 0.3498, phi = 0.3000 | C_B1 = 33.44 Mbps | C_B2 = 11.07 Mbps | C_E = 21.02 Mbps | R_s1 = 1.24 | R_s2 = 0.00 | SOP1 = 0.28 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.24e-07 | eta_s2 = 1.66e-11
SNR_Bob = 6 dB, SNR_Eve = 20 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 31.09 Mbps | C_B2 = 10.88 Mbps | C_E = 21.02 Mbps | R_s1 = 1.01 | R_s2 = 0.00 | SOP1 = 0.49 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 1.01e-07 | eta_s2 = 1.33e-11
SNR_Bob = 8 dB, SNR_Eve = 0 dB | alpha1 = 0.3503, alpha2 = 0.3497, phi = 0.3000 | C_B1 = 44.71 Mbps | C_B2 = 15.39 Mbps | C_E = 26.33 Mbps | R_s1 = 1.84 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.84e-07 | eta_s2 = 3.18e-11
SNR_Bob = 8 dB, SNR_Eve = 2 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 44.65 Mbps | C_B2 = 15.39 Mbps | C_E = 26.31 Mbps | R_s1 = 1.83 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.83e-07 | eta_s2 = 3.28e-11
SNR_Bob = 8 dB, SNR_Eve = 4 dB | alpha1 = 0.3496, alpha2 = 0.3504, phi = 0.3000 | C_B1 = 44.53 Mbps | C_B2 = 15.37 Mbps | C_E = 26.31 Mbps | R_s1 = 1.82 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.82e-07 | eta_s2 = 3.90e-11
SNR_Bob = 8 dB, SNR_Eve = 6 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 44.38 Mbps | C_B2 = 15.37 Mbps | C_E = 26.33 Mbps | R_s1 = 1.80 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.80e-07 | eta_s2 = 3.50e-11
SNR_Bob = 8 dB, SNR_Eve = 8 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 44.14 Mbps | C_B2 = 15.36 Mbps | C_E = 26.34 Mbps | R_s1 = 1.78 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.78e-07 | eta_s2 = 3.03e-11
