
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 3.98e-17 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.111, alpha2 = 0.889 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.001
============================

SNR_Bob = 8 dB, SNR_Eve = 0 dB | C_B1 = 6.68 Mbps | C_B2 = 6.69 Mbps | C_E = 13.43 Mbps | BER_B1 = 5.0420e-01 | BER_B2 = 5.0180e-01 | BER_E = 4.9510e-01 | R_s1 = 0.44 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 8 dB, SNR_Eve = 2 dB | C_B1 = 6.70 Mbps | C_B2 = 6.77 Mbps | C_E = 13.51 Mbps | BER_B1 = 5.0370e-01 | BER_B2 = 5.0600e-01 | BER_E = 5.0410e-01 | R_s1 = 0.44 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 8 dB, SNR_Eve = 4 dB | C_B1 = 6.70 Mbps | C_B2 = 6.63 Mbps | C_E = 13.42 Mbps | BER_B1 = 4.8930e-01 | BER_B2 = 5.0310e-01 | BER_E = 4.9740e-01 | R_s1 = 0.44 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.79 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 8 dB, SNR_Eve = 6 dB | C_B1 = 6.69 Mbps | C_B2 = 6.72 Mbps | C_E = 13.48 Mbps | BER_B1 = 4.9820e-01 | BER_B2 = 4.9970e-01 | BER_E = 5.0180e-01 | R_s1 = 0.44 | R_s2 = 0.13 | SOP1 = 0.34 | SOP2 = 0.78 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 8 dB, SNR_Eve = 8 dB | C_B1 = 6.63 Mbps | C_B2 = 6.61 Mbps | C_E = 13.55 Mbps | BER_B1 = 4.9620e-01 | BER_B2 = 5.0410e-01 | BER_E = 5.0170e-01 | R_s1 = 0.43 | R_s2 = 0.13 | SOP1 = 0.36 | SOP2 = 0.79 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 8 dB, SNR_Eve = 10 dB | C_B1 = 6.65 Mbps | C_B2 = 6.74 Mbps | C_E = 13.47 Mbps | BER_B1 = 4.9560e-01 | BER_B2 = 5.1000e-01 | BER_E = 4.9460e-01 | R_s1 = 0.43 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 8 dB, SNR_Eve = 12 dB | C_B1 = 6.70 Mbps | C_B2 = 6.77 Mbps | C_E = 13.45 Mbps | BER_B1 = 4.9300e-01 | BER_B2 = 4.9680e-01 | BER_E = 5.0760e-01 | R_s1 = 0.44 | R_s2 = 0.14 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 8 dB, SNR_Eve = 14 dB | C_B1 = 6.56 Mbps | C_B2 = 6.71 Mbps | C_E = 13.50 Mbps | BER_B1 = 4.9620e-01 | BER_B2 = 5.0180e-01 | BER_E = 4.9560e-01 | R_s1 = 0.43 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 8 dB, SNR_Eve = 16 dB | C_B1 = 6.58 Mbps | C_B2 = 6.69 Mbps | C_E = 13.48 Mbps | BER_B1 = 4.9340e-01 | BER_B2 = 4.9160e-01 | BER_E = 4.9300e-01 | R_s1 = 0.43 | R_s2 = 0.13 | SOP1 = 0.36 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 8 dB, SNR_Eve = 18 dB | C_B1 = 6.62 Mbps | C_B2 = 6.65 Mbps | C_E = 13.32 Mbps | BER_B1 = 4.9980e-01 | BER_B2 = 5.0240e-01 | BER_E = 4.9520e-01 | R_s1 = 0.43 | R_s2 = 0.13 | SOP1 = 0.35 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
