
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 1.00e-15 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Số anten: 16
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.300, alpha2 = 0.700 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.01
============================

SNR_Bob = 8 dB, SNR_Eve = 2 dB | C_B1 = 41.89 Mbps | C_B2 = 32.57 Mbps | C_E = 47.04 Mbps | BER_B1 = 5.0200e-01 | BER_B2 = 5.0740e-01 | BER_E = 5.0150e-01 | R_s1 = 0.64 | R_s2 = 0.00 | SOP1 = 0.83 | SOP2 = 1.00 | IP1 = 0.05 | IP2 = 1.00 | eta_s1 = 6.40e-08 | eta_s2 = 1.46e-11
SNR_Bob = 8 dB, SNR_Eve = 4 dB | C_B1 = 41.82 Mbps | C_B2 = 32.68 Mbps | C_E = 47.01 Mbps | BER_B1 = 5.0300e-01 | BER_B2 = 4.9810e-01 | BER_E = 4.9980e-01 | R_s1 = 0.64 | R_s2 = 0.00 | SOP1 = 0.83 | SOP2 = 1.00 | IP1 = 0.05 | IP2 = 1.00 | eta_s1 = 6.35e-08 | eta_s2 = 2.13e-11
SNR_Bob = 8 dB, SNR_Eve = 6 dB | C_B1 = 41.75 Mbps | C_B2 = 32.62 Mbps | C_E = 46.99 Mbps | BER_B1 = 5.0190e-01 | BER_B2 = 5.0270e-01 | BER_E = 5.0300e-01 | R_s1 = 0.63 | R_s2 = 0.00 | SOP1 = 0.84 | SOP2 = 1.00 | IP1 = 0.05 | IP2 = 1.00 | eta_s1 = 6.32e-08 | eta_s2 = 2.38e-11
SNR_Bob = 8 dB, SNR_Eve = 8 dB | C_B1 = 41.66 Mbps | C_B2 = 32.57 Mbps | C_E = 46.98 Mbps | BER_B1 = 4.8720e-01 | BER_B2 = 5.0070e-01 | BER_E = 5.0050e-01 | R_s1 = 0.63 | R_s2 = 0.00 | SOP1 = 0.84 | SOP2 = 1.00 | IP1 = 0.06 | IP2 = 1.00 | eta_s1 = 6.25e-08 | eta_s2 = 2.37e-11
SNR_Bob = 8 dB, SNR_Eve = 10 dB | C_B1 = 41.47 Mbps | C_B2 = 32.59 Mbps | C_E = 46.98 Mbps | BER_B1 = 5.0510e-01 | BER_B2 = 5.0550e-01 | BER_E = 5.0230e-01 | R_s1 = 0.61 | R_s2 = 0.00 | SOP1 = 0.85 | SOP2 = 1.00 | IP1 = 0.06 | IP2 = 1.00 | eta_s1 = 6.06e-08 | eta_s2 = 2.79e-11
SNR_Bob = 8 dB, SNR_Eve = 12 dB | C_B1 = 41.25 Mbps | C_B2 = 32.54 Mbps | C_E = 46.97 Mbps | BER_B1 = 5.0380e-01 | BER_B2 = 5.0480e-01 | BER_E = 4.9740e-01 | R_s1 = 0.59 | R_s2 = 0.00 | SOP1 = 0.86 | SOP2 = 1.00 | IP1 = 0.08 | IP2 = 1.00 | eta_s1 = 5.87e-08 | eta_s2 = 1.67e-11
SNR_Bob = 8 dB, SNR_Eve = 14 dB | C_B1 = 40.87 Mbps | C_B2 = 32.54 Mbps | C_E = 46.98 Mbps | BER_B1 = 4.9950e-01 | BER_B2 = 4.9750e-01 | BER_E = 5.0570e-01 | R_s1 = 0.55 | R_s2 = 0.00 | SOP1 = 0.88 | SOP2 = 1.00 | IP1 = 0.09 | IP2 = 1.00 | eta_s1 = 5.52e-08 | eta_s2 = 4.53e-11
SNR_Bob = 8 dB, SNR_Eve = 16 dB | C_B1 = 40.30 Mbps | C_B2 = 32.47 Mbps | C_E = 46.95 Mbps | BER_B1 = 4.9770e-01 | BER_B2 = 5.0760e-01 | BER_E = 5.0310e-01 | R_s1 = 0.50 | R_s2 = 0.00 | SOP1 = 0.90 | SOP2 = 1.00 | IP1 = 0.12 | IP2 = 1.00 | eta_s1 = 5.04e-08 | eta_s2 = 1.36e-11
SNR_Bob = 8 dB, SNR_Eve = 18 dB | C_B1 = 39.45 Mbps | C_B2 = 32.47 Mbps | C_E = 46.98 Mbps | BER_B1 = 4.9280e-01 | BER_B2 = 4.9640e-01 | BER_E = 4.9790e-01 | R_s1 = 0.43 | R_s2 = 0.00 | SOP1 = 0.93 | SOP2 = 1.00 | IP1 = 0.17 | IP2 = 1.00 | eta_s1 = 4.29e-08 | eta_s2 = 3.19e-11
SNR_Bob = 8 dB, SNR_Eve = 20 dB | C_B1 = 38.17 Mbps | C_B2 = 32.44 Mbps | C_E = 47.06 Mbps | BER_B1 = 5.0000e-01 | BER_B2 = 4.9330e-01 | BER_E = 5.0270e-01 | R_s1 = 0.32 | R_s2 = 0.00 | SOP1 = 0.96 | SOP2 = 1.00 | IP1 = 0.27 | IP2 = 1.00 | eta_s1 = 3.24e-08 | eta_s2 = 3.13e-11
SNR_Bob = 10 dB, SNR_Eve = 0 dB | C_B1 = 45.29 Mbps | C_B2 = 38.66 Mbps | C_E = 53.43 Mbps | BER_B1 = 5.0000e-01 | BER_B2 = 4.9360e-01 | BER_E = 4.9970e-01 | R_s1 = 0.39 | R_s2 = 0.00 | SOP1 = 0.95 | SOP2 = 1.00 | IP1 = 0.17 | IP2 = 1.00 | eta_s1 = 3.91e-08 | eta_s2 = 1.91e-11
SNR_Bob = 10 dB, SNR_Eve = 2 dB | C_B1 = 45.26 Mbps | C_B2 = 38.68 Mbps | C_E = 53.42 Mbps | BER_B1 = 4.9670e-01 | BER_B2 = 5.0000e-01 | BER_E = 5.0580e-01 | R_s1 = 0.39 | R_s2 = 0.00 | SOP1 = 0.95 | SOP2 = 1.00 | IP1 = 0.18 | IP2 = 1.00 | eta_s1 = 3.91e-08 | eta_s2 = 2.69e-11
